Date,Actual,High,Low,Open,Volume,Coin,Predicted_Close,Lower_CI,Upper_CI
2024-05-21,70136.53125,71946.4609375,69191.125,71443.0625,46932005990.0,BTC-USD,65175.904575313856,59491.94763711634,70839.43202306687
2024-05-22,69122.3359375,70623.6953125,68977.6953125,70135.3203125,32802561717.0,BTC-USD,65598.0424353398,59208.93888526421,70996.54183066552
2024-05-23,67929.5625,70041.2734375,66356.953125,69121.3046875,41895680979.0,BTC-USD,65326.21873070471,59369.274820077946,70803.38381236624
2024-05-24,68526.1015625,69220.296875,66622.671875,67928.1328125,29197308153.0,BTC-USD,65337.3510354122,59395.16531264238,71165.81843603357
2024-05-25,69265.9453125,69579.3203125,68515.8203125,68526.921875,15473071741.0,BTC-USD,65113.91507906673,59397.051524804134,70705.99835281476
2024-05-26,68518.09375,69506.2265625,68183.890625,69264.2890625,15628433737.0,BTC-USD,65107.66314339587,58970.831702288466,70587.53500630171
2024-05-27,69394.5546875,70597.8828125,68232.5,68512.1796875,25870990717.0,BTC-USD,65446.47716124715,59720.06771441265,71222.48431070299
2024-05-28,68296.21875,69514.640625,67227.15625,69392.1953125,32722265965.0,BTC-USD,64943.31622078555,59154.10630217882,71204.3531862658
2024-05-29,67578.09375,68852.4609375,67101.4921875,68296.3515625,26707072906.0,BTC-USD,65365.454080811876,59034.08870358243,71237.00438662081
2024-05-30,68364.9921875,69500.5390625,67118.078125,67576.0859375,29509712534.0,BTC-USD,65093.63037617653,59175.352927955144,70897.50598839863
2024-05-31,67491.4140625,68999.5625,66633.421875,68362.515625,27387283769.0,BTC-USD,65104.76268088468,59018.98659357482,70936.38199378364
2024-06-01,67706.9375,67839.765625,67386.1953125,67489.609375,11641495604.0,BTC-USD,64862.11987023385,59566.22460446228,70735.87769707077
2024-06-02,67751.6015625,68409.1640625,67315.5234375,67710.2734375,17110588415.0,BTC-USD,64836.661080260616,58989.75924892365,70484.22119392613
2024-06-03,68804.78125,70230.8203125,67589.8359375,67753.8984375,32401285324.0,BTC-USD,65156.26824380804,59322.09625505932,70791.00792995673
2024-06-04,70567.765625,71047.40625,68564.640625,68804.5703125,33149696545.0,BTC-USD,64633.90044904348,59001.74590010687,70433.57972576264
2024-06-05,71082.8203125,71735.4140625,70390.7109375,70568.3515625,32810771409.0,BTC-USD,65036.83145476625,59235.628854680734,70591.6706637117
2024-06-06,70757.1640625,71625.734375,70119.125,71082.84375,25223152007.0,BTC-USD,64745.80089582826,59305.89094345924,70923.4202073852
2024-06-07,69342.5859375,71907.8515625,68507.2578125,70759.1875,36188381096.0,BTC-USD,64737.72634623336,58883.73562075001,70451.440358353
2024-06-08,69305.7734375,69533.3203125,69210.7421875,69324.1796875,14262185861.0,BTC-USD,64495.083535580896,59333.86040162924,70545.49747682904
2024-06-09,69647.9921875,69817.5234375,69160.84375,69297.4921875,13534028500.0,BTC-USD,64469.62474560992,58896.26620108871,69874.17378112875
2024-06-10,69512.28125,70146.0703125,69232.421875,69644.3125,20597699541.0,BTC-USD,64789.23190915636,58905.29784499228,70277.61226035834
2024-06-11,67332.03125,69549.4140625,66123.6015625,69508.078125,37116136345.0,BTC-USD,64266.86411439175,58659.90404860563,69850.10487201424
2024-06-12,68241.1875,69977.890625,66902.453125,67321.375,34497940694.0,BTC-USD,64669.795120113806,58644.74140418069,70369.118627894
2024-06-13,66756.3984375,68365.78125,66304.5625,68243.1015625,28955204146.0,BTC-USD,64376.290156221745,58826.85428663557,70085.20392864366
2024-06-14,66011.09375,67294.6484375,65056.89453125,66747.5703125,27403884779.0,BTC-USD,64365.74120167262,58472.78211713829,69733.92122804676
2024-06-15,66191.0,66402.1875,65871.7734375,66006.7421875,14121265576.0,BTC-USD,64120.6239860662,58152.32292654433,70142.76877156209
2024-06-16,66639.046875,66894.84375,66018.25,66189.359375,13281140541.0,BTC-USD,64092.690791137094,58207.64095381303,70119.753129072
2024-06-17,66490.296875,67188.3203125,65094.96484375,66636.515625,30006354476.0,BTC-USD,64409.823549730194,58339.44436628284,69937.97109477183
2024-06-18,65140.74609375,66556.703125,64066.95703125,66490.9765625,39481285950.0,BTC-USD,63884.9813500107,58283.03806894069,69341.10112830566
2024-06-19,64960.296875,65695.3515625,64693.30078125,65146.66015625,21103423504.0,BTC-USD,64285.43795077769,58632.50652063627,69807.7024714991
2024-06-20,64828.65625,66438.9609375,64547.84765625,64960.296875,25641109124.0,BTC-USD,63991.932986884814,58444.39100852642,69596.02229168644
2024-06-21,64096.19921875,65007.546875,63378.89453125,64837.98828125,26188171739.0,BTC-USD,63981.38403233602,58033.826870799836,69602.76126700532
2024-06-22,64252.578125,64475.46875,63929.7578125,64113.86328125,9858198793.0,BTC-USD,63736.26681672898,57984.879297597516,68819.13156823696
2024-06-23,63180.796875,64491.703125,63180.796875,64248.96484375,11170471802.0,BTC-USD,63708.333621801285,58166.71466247404,69605.14703590312
2024-06-24,60277.4140625,63292.52734375,58601.69921875,63173.3515625,43152133651.0,BTC-USD,64025.46638039425,58295.78431532861,70109.83037664782
2024-06-25,61804.640625,62258.26171875,60239.75,60266.28125,29201215431.0,BTC-USD,63500.624185616536,57756.785537739466,69623.61147449775
2024-06-26,60811.27734375,62434.13671875,60695.1875,61789.67578125,22506003064.0,BTC-USD,63901.08079132578,58155.79396228633,69070.08276466625
2024-06-27,61604.80078125,62293.86328125,60585.33203125,60811.2265625,21231745045.0,BTC-USD,63607.575832375514,57966.08679040191,69353.86528338504
2024-06-28,60320.13671875,62126.09765625,59985.40234375,61612.8046875,24952866877.0,BTC-USD,63597.02688276681,57785.88257659412,69619.06850198009
2024-06-29,60887.37890625,61097.62109375,60300.96484375,60319.875,12652903396.0,BTC-USD,63351.90967210385,57539.30701752564,69037.57295842192
2024-06-30,62678.29296875,62892.828125,60632.94921875,60888.4453125,17333226409.0,BTC-USD,63323.976482116144,57480.710408044855,69253.71186029914
